Name,Taxa,Family,Location,Env,Yield,TSTWT,Protein,Height,DTH
LDRC74_85,EA_298,LDRC74,Spillman,2014,2.100694667,58.54365933,13.80809867,39.98218667,184.0145427
LDRC74_86,EA_299,LDRC74,Spillman,2014,1.197664667,61.54365933,14.70809867,32.98218667,180.0146427
LDRC74_87,EA_300,LDRC74,Spillman,2014,2.112694667,61.44365933,12.80799867,39.98218667,183.0146427
LDRC81_71,EA_351,LDRC81,Spillman,2014,2.187664667,56.24375933,12.80799867,33.98218667,178.0146427
LDRC81_72,EA_352,LDRC81,Spillman,2014,2.061697667,57.44375933,14.60810867,42.98218667,181.0146427
LDRC81_76,EA_353,LDRC81,Spillman,2014,2.442664667,59.04365933,14.10809867,40.98178667,180.0146427
LDRC81_82,EA_354,LDRC81,Spillman,2014,1.992694667,59.24365933,14.80809867,40.98178667,181.0146427
LDRC81_84,EA_355,LDRC81,Spillman,2014,1.704664667,56.74375933,14.80809867,46.98218667,180.0146427
LDRC81_87,EA_356,LDRC81,Spillman,2014,1.764664667,57.44375933,15.30809867,40.98178667,181.0146427
LDRC81_88,EA_357,LDRC81,Spillman,2014,1.587664667,56.64375933,14.20809867,41.98178667,179.0146427
LDRC81_89,EA_358,LDRC81,Spillman,2014,1.506664667,57.24375933,15.60799867,43.98218667,179.0146427
LDRC81_91,EA_359,LDRC81,Spillman,2014,2.172664667,55.94365933,14.70809867,36.98218667,179.0146427
LDRC81_93,EA_360,LDRC81,Spillman,2014,1.665664667,54.54365933,17.00799867,39.98218667,180.0146427
LDRC81_96,EA_361,LDRC81,Spillman,2014,1.983694667,55.04365933,13.50799867,35.98218667,177.0146427
LDRC81_97,EA_362,LDRC81,Spillman,2014,1.941664667,59.04365933,14.00809867,36.98218667,176.0146427
LDRC81_99,EA_363,LDRC81,Spillman,2014,2.052694667,56.14375933,15.40809867,41.98178667,178.0146427
LDRC81_100,EA_364,LDRC81,Spillman,2014,1.968694667,54.64365933,14.70809867,43.98218667,177.0146427
LDRC81_101,EA_365,LDRC81,Spillman,2014,1.851664667,57.04376933,15.40809867,42.98218667,177.0146427
LDRC81_103,EA_366,LDRC81,Spillman,2014,2.010694667,57.84375933,14.90809867,41.98178667,180.0146427
LDRC81_104,EA_367,LDRC81,Spillman,2014,2.349664667,59.44365933,13.30799867,35.98218667,177.0146427
LDRC81_108,EA_368,LDRC81,Spillman,2014,2.091694667,55.64365933,14.70809867,41.98178667,179.0146427
LDRC81_109,EA_369,LDRC81,Spillman,2014,2.067697667,55.64365933,13.80809867,35.98218667,178.0146427
LDRC81_110,EA_370,LDRC81,Spillman,2014,1.884664667,56.94376933,15.30809867,42.98218667,175.0146427
LDRC81_111,EA_371,LDRC81,Spillman,2014,1.896664667,52.74365933,16.40799867,46.98218667,181.0146427
LDRC81_112,EA_372,LDRC81,Spillman,2014,2.139694667,53.14365933,16.00799867,45.98218667,180.0146427
LDRC81_116,EA_373,LDRC81,Spillman,2014,1.890664667,56.34375933,13.70809867,38.98218667,176.0146427
LDRC81_117,EA_374,LDRC81,Spillman,2014,1.791664667,54.34365933,14.30809867,41.98178667,177.0146427
LDRC81_118,EA_375,LDRC81,Spillman,2014,1.944664667,55.94365933,14.80809867,39.98218667,178.0146427
LDRC89_63,EA_426,LDRC89,Spillman,2014,1.332664667,52.44365933,15.80799867,39.98218667,177.0146427
LDRC89_64,EA_427,LDRC89,Spillman,2014,1.410964667,56.60315933,13.86039867,36.72218667,179.0126427
LDRC89_65,EA_428,LDRC89,Spillman,2014,1.116964667,54.20265933,14.36039867,36.72218667,182.0126427
LDRC89_66,EA_429,LDRC89,Spillman,2014,1.179964667,52.40265933,13.35999867,36.72218667,181.0126427
LDRC89_67,EA_430,LDRC89,Spillman,2014,1.353964667,55.90265933,14.06039867,34.72218667,176.0126427
LDRC89_68,EA_431,LDRC89,Spillman,2014,0.964264667,52.50265933,15.85999867,36.72218667,184.0123427
LDRC89_70,EA_432,LDRC89,Spillman,2014,1.569964667,56.40315933,14.06039867,36.72218667,180.0126427
LDRC89_71,EA_433,LDRC89,Spillman,2014,1.389964667,54.90265933,15.65999867,40.72198667,179.0126427
LDRC89_72,EA_434,LDRC89,Spillman,2014,1.635964667,55.10265933,14.96039867,37.72218667,178.0126427
LDRC89_73,EA_435,LDRC89,Spillman,2014,1.191964667,54.20265933,15.85999867,38.72218667,182.0126427
LDRC89_74,EA_436,LDRC89,Spillman,2014,1.425964667,51.60265933,15.75999867,36.72218667,185.0123427
LDRC89_76,EA_437,LDRC89,Spillman,2014,1.278964667,55.50265933,14.96039867,39.72218667,178.0126427
LDRC89_77,EA_438,LDRC89,Spillman,2014,1.620964667,53.50265933,14.66043867,39.72218667,179.0126427
LDRC89_78,EA_439,LDRC89,Spillman,2014,1.122964667,53.30265933,14.06039867,30.72618667,178.0126427
LDRC89_79,EA_440,LDRC89,Spillman,2014,1.521964667,54.60265933,13.66039867,29.72618667,176.0126427
LDRC89_80,EA_441,LDRC89,Spillman,2014,1.503964667,56.90315933,15.46039867,35.72218667,181.0126427
LDRC89_81,EA_442,LDRC89,Spillman,2014,1.797964667,56.00265933,16.05999867,38.72218667,177.0126427
LDRC89_82,EA_443,LDRC89,Spillman,2014,1.644964667,54.90265933,14.66043867,36.72218667,176.0126427
LDRC89_83,EA_444,LDRC89,Spillman,2014,1.506964667,55.60265933,14.96039867,31.72218667,178.0126427
LDRC89_84,EA_445,LDRC89,Spillman,2014,1.251964667,53.10265933,14.46039867,39.72218667,177.0126427
LDRC89_86,EA_446,LDRC89,Spillman,2014,2.088974667,57.70315933,15.16039867,38.72218667,177.0126427
LDRC89_87,EA_447,LDRC89,Spillman,2014,1.590964667,55.40265933,15.06039867,35.72218667,175.0126427
LDRC89_88,EA_448,LDRC89,Spillman,2014,1.545964667,57.80315933,14.06039867,38.72218667,173.0156427
LDRC89_89,EA_449,LDRC89,Spillman,2014,1.569964667,55.10265933,13.76039867,28.72618667,174.0156427
LDRC89_91,EA_450,LDRC89,Spillman,2014,1.428964667,54.20265933,13.25999867,37.72218667,174.0156427
LDRC99_80,EA_501,LDRC99,Spillman,2014,2.103974667,55.40265933,12.95999867,33.72218667,178.0126427
LDRC99_81,EA_502,LDRC99,Spillman,2014,1.617964667,59.50265933,13.15999867,39.72218667,176.0126427
LDRC99_82,EA_503,LDRC99,Spillman,2014,1.767964667,57.60315933,14.76039867,36.72218667,181.0126427
LDRC99_83,EA_504,LDRC99,Spillman,2014,1.464964667,57.80315933,15.06039867,44.72218667,179.0126427
LDRC99_84,EA_505,LDRC99,Spillman,2014,1.683964667,52.10265933,12.75999867,35.72218667,181.0126427
LDRC99_85,EA_506,LDRC99,Spillman,2014,1.953964667,57.90315933,14.06039867,32.72218667,179.0126427
LDRC99_87,EA_507,LDRC99,Spillman,2014,1.656964667,58.50265933,13.96039867,38.72218667,175.0126427
LDRC99_88,EA_508,LDRC99,Spillman,2014,2.097974667,57.40315933,14.26039867,38.72218667,174.0156427
LDRC99_89,EA_509,LDRC99,Spillman,2014,1.752964667,57.00315933,14.06039867,42.72218667,178.0126427
LDRC99_90,EA_510,LDRC99,Spillman,2014,1.710964667,55.70265933,12.95999867,41.72198667,179.0126427
LDRC99_91,EA_511,LDRC99,Spillman,2014,1.593964667,57.80315933,15.16039867,41.72198667,175.0126427
LDRC99_92,EA_512,LDRC99,Spillman,2014,1.485964667,60.30265933,13.76039867,40.72198667,177.0126427
LDRC99_94,EA_513,LDRC99,Spillman,2014,1.920964667,56.70315933,15.36039867,29.72618667,182.0126427
